quadrant,name,ring,isNew,Description,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Agile,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Behavior Driven Development (BDD/Gherkin),3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Platform,Docker,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Platform,Open Source Strategy,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Platform,Unix,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Platform,AWS,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,ALM,2-Adopt,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Platform,Azure,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Blockchain,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Continuous Integration,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Data Science,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,DevOps,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,IOTTesting,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Media/VideoTesting,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Microservices,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,MTV,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,NFV Testing,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,NLP,4-Hold,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,SAFe,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques,Security Testing,3-Assess/Trial,FALSE, ,,,,,,,,,,,,,,,,,,,,,,,,,
